candidate_id,kind,label,cutoff,pre_events,post_events,pre_event_share,post_event_share,post_calendar_days,post_active_days,post_active_hours,post_events_per_calendar_day,post_events_per_active_day,post_events_per_active_hour,post_day_events_p50,post_day_events_p90,post_day_events_p95,post_day_events_p99,post_day_events_max,post_hour_events_p50,post_hour_events_p90,post_hour_events_p95,post_hour_events_p99,post_hour_events_max,pre_unique_users,post_unique_users,new_stream_users,existing_stream_users,new_stream_user_share,pre_user_events_p50,pre_user_events_p90,pre_user_events_p99,post_user_events_p50,post_user_events_p90,post_user_events_p99,post_user_events_max,pre_unique_movies,post_unique_movies,cold_stream_movies,unknown_item_events,unknown_item_event_share,post_positive_proxy_events,post_positive_proxy_event_share,users_with_post_events_ge_refit_min,users_with_positive_proxy_ge_refit_min,users_with_post_events_ge_assign_trigger,users_with_post_events_ge_outlier_trigger,recommendation_role
q70,event_quantile,70% cumulative events,2016-09-28T23:59:59Z,22341851,9574512,0.7000124356274554,0.2999875643725446,2571,2567,61164,3724.042007001167,3729.844955200623,156.53835589562487,3490.0,5791.4,6782.899999999999,9207.620000000006,22917.0,102.0,339.0,453.0,850.7400000000052,5817.0,154314,54581,46634,7947,0.8543998827430791,68.0,335.0,1124.8699999999953,81.0,404.0,1395.199999999997,19109.0,34343,75475,43304,1250025,0.13055756784262215,4744739,0.49555935592330974,54037,53647,54037,54037,""
q80,event_quantile,80% cumulative events,2018-09-20T23:59:59Z,25534958,6381405,0.8000585154392434,0.1999414845607565,1849,1846,43965,3451.2736614386154,3456.882448537378,145.14738996929376,3175.0,5446.0,6331.75,8428.3,22917.0,92.0,314.0,426.0,823.0,5817.0,170263,38488,30685,7803,0.7972614840989399,70.0,346.0,1174.0,77.0,378.0,1355.0,9406.0,47102,71870,30545,626412,0.0981620818612829,3172443,0.4971386395315765,37861,37489,37861,37861,""
recent_5y,recent_window,last 5y stream window,2018-10-14T23:59:59Z,25624895,6291468,0.802876411701421,0.197123588298579,1825,1822,43405,3447.3797260273973,3453.0559824368825,144.94800138232924,3152.0,5451.700000000001,6370.9499999999925,8429.74,22917.0,92.0,314.0,426.0,823.9599999999991,5817.0,170743,38027,30205,7822,0.7943040471244116,70.0,347.0,1174.0,77.0,377.0,1354.739999999998,9406.0,47467,71760,30180,609218,0.09683240858890167,3127446,0.4970932062278629,37377,37007,37377,37377,stress
year_end_2018,calendar_year_end,2018 year end,2018-12-31T23:59:59Z,25955598,5960765,0.8132379619820717,0.1867620380179283,1747,1744,41536,3412.0005724098455,3417.8698394495414,143.5084023497689,3097.0,5451.1,6366.849999999997,8344.679999999998,22917.0,90.0,311.0,423.0,819.6500000000015,5817.0,172569,36254,28379,7875,0.7827825895073647,70.0,347.0,1176.320000000007,76.0,375.7000000000007,1349.4100000000035,9406.0,48686,71040,28961,546204,0.09163320479837739,2956129,0.49593114306636815,35601,35209,35601,35601,""
q85,event_quantile,85% cumulative events,2019-10-29T23:59:59Z,27129684,4786679,0.8500242963147148,0.1499757036852852,1445,1443,34378,3312.5806228373704,3317.171864171864,139.2366920705102,2957.0,5416.0,6263.899999999997,8212.539999999999,12077.0,87.0,304.0,411.0,790.2300000000032,5817.0,178461,30322,22487,7835,0.7416067541718884,70.0,350.0,1202.0,74.0,361.0,1280.7900000000009,6355.0,54385,66239,23262,362396,0.07570927567944288,2369661,0.49505325090736185,29668,29291,29668,29668,balanced
year_end_2019,calendar_year_end,2019 year end,2019-12-31T23:59:59Z,27327165,4589198,0.8562117494402479,0.14378825055975206,1382,1380,32909,3320.6931982633864,3325.5057971014494,139.45115317998116,2951.5,5443.9000000000015,6275.649999999999,8225.560000000001,12077.0,87.0,304.0,411.0,789.9199999999983,5817.0,179419,29341,21529,7812,0.7337514058825534,70.0,350.0,1205.820000000007,74.0,359.0,1274.199999999997,6355.0,55156,65684,22491,311271,0.06782688391304974,2272882,0.49526780060481157,28684,28319,28684,28684,""
recent_3y,recent_window,last 3y stream window,2020-10-13T23:59:59Z,28649990,3266373,0.8976583578774311,0.10234164212256891,1095,1093,26125,2982.9890410958906,2988.447392497713,125.02863157894737,2699.0,4801.0,5520.199999999997,7032.439999999999,12077.0,77.0,270.0,366.7999999999993,731.0,5817.0,186178,22741,14770,7971,0.6494877094235082,71.0,353.0,1222.0,66.0,328.0,1220.0,6355.0,59968,60457,17679,225948,0.06917397370110517,1596554,0.4887849611786529,21969,21502,21969,21969,""
q90,event_quantile,90% cumulative events,2020-10-29T23:59:59Z,28725447,3190916,0.9000225683609376,0.09997743163906238,1079,1077,25741,2957.2900834105653,2962.7818012999073,123.96239462336351,2682.0,4743.0,5489.199999999999,7035.32,12077.0,76.0,268.0,362.0,722.9999999999927,5817.0,186557,22390,14391,7999,0.6427422956677088,71.0,353.0,1223.4400000000023,65.0,326.0,1200.4400000000023,6355.0,60276,59856,17371,215722,0.06760503880390459,1559759,0.48881230342635157,21587,21125,21587,21587,conservative
year_end_2020,calendar_year_end,2020 year end,2020-12-31T23:59:59Z,29000244,2916119,0.9086324779549599,0.09136752204504003,1016,1014,24229,2870.1958661417325,2875.8570019723866,120.35655619299187,2618.0,4547.700000000001,5252.049999999994,7022.030000000001,12077.0,74.0,261.0,351.0,698.4400000000023,5817.0,187950,20964,12998,7966,0.6200152642625453,71.0,354.0,1227.5100000000093,63.0,318.0,1181.479999999996,6355.0,61306,58713,16341,201143,0.06897626605772947,1415599,0.4854393802173368,20169,19673,20169,20169,""
recent_2y,recent_window,last 2y stream window,2021-10-13T23:59:59Z,30027950,1888413,0.9408324501134419,0.05916754988655819,730,728,17373,2586.8671232876713,2593.973901098901,108.69815230530133,2379.5,4025.9,4652.2,5939.580000000003,8541.0,65.0,235.0,321.0,644.8399999999965,5817.0,192759,15439,8189,7250,0.5304100006477104,72.0,356.0,1248.4200000000128,54.0,281.0,1098.859999999997,6355.0,65791,52367,11856,129677,0.06866983016956567,900995,0.4771175585001798,14711,14216,14711,14711,""
