day,events
1995-01-09,4
1996-01-29,42
1996-02-01,59
1996-02-02,67
1996-02-05,32
1996-02-06,1
1996-02-07,1
1996-02-08,4
1996-02-09,10
1996-02-10,1
1996-02-12,19
1996-02-15,21
1996-02-17,2
1996-02-19,18
1996-02-20,5
1996-02-21,2
1996-02-22,64
1996-02-23,56
1996-02-26,19
1996-02-27,1
1996-02-28,54
1996-02-29,13
1996-03-01,645
1996-03-02,43
1996-03-03,5
1996-03-04,17
1996-03-05,85
1996-03-08,122
1996-03-10,31
1996-03-12,78
1996-03-13,59
1996-03-14,178
1996-03-15,52
1996-03-16,72
1996-03-17,7
1996-03-18,63
1996-03-19,105
1996-03-20,154
1996-03-21,221
1996-03-22,107
1996-03-24,48
1996-03-25,63
1996-03-26,130
1996-03-27,833
1996-03-28,1468
1996-03-29,1637
1996-03-30,1468
1996-03-31,1493
1996-04-01,1240
1996-04-02,1649
1996-04-03,1476
1996-04-04,1469
1996-04-05,1689
1996-04-06,1145
1996-04-07,1160
1996-04-08,1379
1996-04-09,2003
1996-04-10,1995
1996-04-11,1968
1996-04-12,1981
1996-04-13,1485
1996-04-14,1491
1996-04-15,1699
1996-04-16,2025
1996-04-17,2092
1996-04-18,1699
1996-04-19,1290
1996-04-20,1736
1996-04-21,1478
1996-04-22,1691
1996-04-23,2528
1996-04-24,2091
1996-04-25,1533
1996-04-26,2490
1996-04-27,1040
1996-04-28,1289
1996-04-29,2205
1996-04-30,2181
1996-05-01,2187
1996-05-02,2117
1996-05-03,1708
1996-05-04,1573
1996-05-05,1688
1996-05-06,2147
1996-05-07,2247
1996-05-08,3041
1996-05-09,6674
1996-05-10,7000
1996-05-11,5167
1996-05-12,7607
1996-05-13,8900
1996-05-14,7881
1996-05-15,5554
1996-05-16,6430
1996-05-17,8735
1996-05-18,7232
1996-05-19,7759
1996-05-20,7091
1996-05-21,7223
1996-05-22,7106
1996-05-23,8478
1996-05-24,7961
1996-05-25,7427
1996-05-26,7429
1996-05-27,7787
1996-05-28,3394
1996-05-29,5727
1996-05-30,8688
1996-05-31,7804
1996-06-01,6302
1996-06-02,4952
1996-06-03,7149
1996-06-04,9289
1996-06-05,8813
1996-06-06,8794
1996-06-07,9758
1996-06-08,7028
1996-06-09,8028
1996-06-10,10032
1996-06-11,9012
1996-06-12,8344
1996-06-13,11658
1996-06-14,7512
1996-06-15,4784
1996-06-16,5710
1996-06-17,8207
1996-06-18,7437
1996-06-19,9448
1996-06-20,6305
1996-06-21,8411
1996-06-22,9827
1996-06-23,10957
1996-06-24,11348
1996-06-25,14419
1996-06-26,13084
1996-06-27,9311
1996-06-28,8040
1996-06-29,4790
1996-06-30,5512
1996-07-01,6896
1996-07-02,9662
1996-07-03,11137
1996-07-04,8643
1996-07-05,8396
1996-07-06,7346
1996-07-07,8420
1996-07-08,10126
1996-07-09,8654
1996-07-10,8776
1996-07-11,7828
1996-07-12,7214
1996-07-13,6725
1996-07-14,6574
1996-07-15,6094
1996-07-16,8837
1996-07-17,12529
1996-07-18,10536
1996-07-19,11339
1996-07-20,6334
1996-07-21,2465
1996-07-22,3563
1996-07-23,6148
1996-07-24,4251
1996-07-25,4969
1996-07-26,4044
1996-07-27,2573
1996-07-28,2581
1996-07-29,4113
1996-07-30,4472
1996-07-31,4956
1996-08-01,4856
1996-08-02,6355
1996-08-03,4375
1996-08-04,4183
1996-08-05,5628
1996-08-06,5888
1996-08-07,6411
1996-08-08,5945
1996-08-09,5922
1996-08-10,2872
1996-08-11,5360
1996-08-12,4906
