hour,events
1995-01-09T11,4
1996-01-29T00,42
1996-02-01T14,59
1996-02-02T10,9
1996-02-02T12,58
1996-02-05T07,1
1996-02-05T09,31
1996-02-06T16,1
1996-02-07T13,1
1996-02-08T10,4
1996-02-09T12,6
1996-02-09T16,1
1996-02-09T18,3
1996-02-10T08,1
1996-02-12T07,1
1996-02-12T14,18
1996-02-15T12,7
1996-02-15T13,13
1996-02-15T15,1
1996-02-17T12,2
1996-02-19T14,14
1996-02-19T15,4
1996-02-20T12,1
1996-02-20T16,4
1996-02-21T13,1
1996-02-21T15,1
1996-02-22T15,28
1996-02-22T16,22
1996-02-22T17,14
1996-02-23T12,56
1996-02-26T11,3
1996-02-26T18,7
1996-02-26T22,9
1996-02-27T13,1
1996-02-28T07,41
1996-02-28T09,9
1996-02-28T15,4
1996-02-29T08,6
1996-02-29T10,5
1996-02-29T12,2
1996-03-01T00,636
1996-03-01T10,1
1996-03-01T17,5
1996-03-01T18,3
1996-03-02T17,18
1996-03-02T18,18
1996-03-02T23,7
1996-03-03T15,3
1996-03-03T18,2
1996-03-04T06,2
1996-03-04T07,1
1996-03-04T15,13
1996-03-04T16,1
1996-03-05T07,13
1996-03-05T08,36
1996-03-05T15,36
1996-03-08T13,12
1996-03-08T14,40
1996-03-08T16,4
1996-03-08T21,32
1996-03-08T22,34
1996-03-10T05,1
1996-03-10T06,11
1996-03-10T13,12
1996-03-10T17,2
1996-03-10T18,5
1996-03-12T08,8
1996-03-12T09,9
1996-03-12T15,58
1996-03-12T16,1
1996-03-12T21,2
1996-03-13T19,35
1996-03-13T23,24
1996-03-14T04,49
1996-03-14T08,1
1996-03-14T09,60
1996-03-14T15,37
1996-03-14T16,2
1996-03-14T17,28
1996-03-14T21,1
1996-03-15T08,16
1996-03-15T09,20
1996-03-15T22,1
1996-03-15T23,15
1996-03-16T07,24
1996-03-16T08,31
1996-03-16T11,17
1996-03-17T06,3
1996-03-17T13,1
1996-03-17T16,3
1996-03-18T06,19
1996-03-18T08,22
1996-03-18T11,2
1996-03-18T17,6
1996-03-18T18,3
1996-03-18T19,5
1996-03-18T20,6
1996-03-19T04,15
1996-03-19T08,22
1996-03-19T18,1
1996-03-19T19,40
1996-03-19T23,27
1996-03-20T06,23
1996-03-20T07,4
1996-03-20T08,48
1996-03-20T09,10
1996-03-20T14,28
1996-03-20T22,41
1996-03-21T07,59
1996-03-21T08,12
1996-03-21T09,1
1996-03-21T10,52
1996-03-21T11,22
1996-03-21T12,42
1996-03-21T15,2
1996-03-21T19,31
1996-03-22T12,40
1996-03-22T13,6
1996-03-22T17,38
1996-03-22T19,23
1996-03-24T06,2
1996-03-24T11,20
1996-03-24T12,5
1996-03-24T16,21
1996-03-25T07,1
1996-03-25T10,2
1996-03-25T11,24
1996-03-25T16,29
1996-03-25T18,3
1996-03-25T20,4
1996-03-26T11,37
1996-03-26T15,1
1996-03-26T16,12
1996-03-26T17,2
1996-03-26T20,32
1996-03-26T21,29
1996-03-26T23,17
1996-03-27T00,63
1996-03-27T07,29
1996-03-27T08,54
1996-03-27T10,7
1996-03-27T11,51
1996-03-27T12,93
1996-03-27T13,78
1996-03-27T14,18
1996-03-27T15,13
1996-03-27T16,67
1996-03-27T17,45
1996-03-27T18,32
1996-03-27T19,77
1996-03-27T20,121
1996-03-27T21,9
1996-03-27T22,76
1996-03-28T04,36
1996-03-28T06,96
1996-03-28T07,8
1996-03-28T08,59
1996-03-28T09,26
1996-03-28T10,98
1996-03-28T11,65
1996-03-28T13,90
1996-03-28T14,91
1996-03-28T15,103
1996-03-28T17,161
1996-03-28T18,32
1996-03-28T19,222
1996-03-28T20,65
1996-03-28T21,205
1996-03-28T22,111
1996-03-29T00,91
1996-03-29T03,62
1996-03-29T04,1
1996-03-29T06,111
1996-03-29T07,38
1996-03-29T08,121
1996-03-29T09,43
1996-03-29T10,120
1996-03-29T11,88
1996-03-29T12,221
1996-03-29T13,4
1996-03-29T14,94
1996-03-29T15,187
1996-03-29T16,7
1996-03-29T17,139
1996-03-29T18,61
1996-03-29T19,58
1996-03-29T20,29
1996-03-29T21,65
1996-03-29T22,97
1996-03-30T00,67
1996-03-30T01,35
1996-03-30T02,33
1996-03-30T05,48
1996-03-30T06,49
1996-03-30T07,40
1996-03-30T08,27
1996-03-30T09,45
1996-03-30T10,139
1996-03-30T11,42
1996-03-30T12,38
1996-03-30T13,144
1996-03-30T14,9
1996-03-30T15,107
1996-03-30T16,97
1996-03-30T17,48
1996-03-30T18,1
1996-03-30T19,116
1996-03-30T20,204
1996-03-30T21,136
1996-03-30T22,43
1996-03-31T00,116
1996-03-31T02,8
1996-03-31T03,18
1996-03-31T04,42
1996-03-31T06,3
1996-03-31T07,3
1996-03-31T08,74
1996-03-31T09,27
1996-03-31T10,63
1996-03-31T11,93
1996-03-31T12,7
1996-03-31T13,26
1996-03-31T14,123
1996-03-31T15,25
1996-03-31T16,159
1996-03-31T17,175
1996-03-31T18,138
1996-03-31T19,187
1996-03-31T20,139
1996-03-31T21,67
1996-04-01T02,4
1996-04-01T04,3
1996-04-01T08,1
1996-04-01T09,1
1996-04-01T10,113
1996-04-01T11,87
1996-04-01T12,200
1996-04-01T13,75
1996-04-01T14,48
1996-04-01T15,51
1996-04-01T16,37
1996-04-01T17,149
1996-04-01T18,92
1996-04-01T19,36
1996-04-01T20,103
1996-04-01T21,101
1996-04-01T22,44
1996-04-01T23,95
1996-04-02T00,23
1996-04-02T03,1
1996-04-02T06,25
1996-04-02T07,25
1996-04-02T08,3
1996-04-02T09,87
1996-04-02T10,131
1996-04-02T11,138
