month,events
1995-01,4
1996-01,42
1996-02,449
1996-03,9184
1996-04,51197
1996-05,181762
1996-06,254261
1996-07,216201
1996-08,209688
1996-09,146852
1996-10,185866
1996-11,180014
1996-12,135852
1997-01,108439
1997-02,66509
1997-03,99565
1997-04,83630
1997-05,94695
1997-06,80303
1997-07,55381
1997-09,18167
1997-10,20795
1997-11,37920
1997-12,19984
1998-01,23495
1998-02,17146
1998-03,19739
1998-04,18484
1998-05,10015
1998-06,14492
1998-07,79681
1998-08,38339
1998-09,18837
1998-10,13904
1998-11,15396
1998-12,32163
1999-01,25805
1999-02,16918
1999-03,8529
1999-04,14002
1999-05,13219
1999-06,11241
1999-07,10210
1999-08,11162
1999-09,31307
1999-10,351183
1999-11,236372
1999-12,444681
2000-01,168455
2000-02,122555
2000-03,148181
2000-04,172599
2000-05,108832
2000-06,91350
2000-07,149077
2000-08,242674
2000-09,78345
2000-10,64415
2000-11,400851
2000-12,164988
2001-01,131690
2001-02,81853
2001-03,71335
2001-04,61981
2001-05,52269
2001-06,161172
2001-07,150684
2001-08,107517
2001-09,92568
2001-10,72599
2001-11,87680
2001-12,88750
2002-01,97046
2002-02,75944
2002-03,63565
2002-04,89377
2002-05,64646
2002-06,58255
2002-07,62866
2002-08,73148
2002-09,58174
2002-10,58048
2002-11,67904
2002-12,80789
2003-01,111774
2003-02,88955
2003-03,95143
2003-04,68250
2003-05,86240
2003-06,87735
2003-07,94996
2003-08,76761
2003-09,75417
2003-10,73982
2003-11,77456
2003-12,74291
2004-01,92898
2004-02,127092
2004-03,111746
2004-04,78997
2004-05,95772
2004-06,85276
2004-07,91035
2004-08,107935
2004-09,95483
2004-10,85643
2004-11,87837
2004-12,79354
2005-01,135821
2005-02,139491
2005-03,338383
2005-04,212679
2005-05,157625
2005-06,142620
2005-07,121708
2005-08,98028
2005-09,104895
2005-10,98290
2005-11,105829
2005-12,97204
2006-01,122758
2006-02,96146
2006-03,113285
2006-04,102773
2006-05,81946
2006-06,84031
2006-07,106136
2006-08,79803
2006-09,74761
2006-10,90720
2006-11,80049
2006-12,109296
2007-01,116243
2007-02,103061
2007-03,95960
2007-04,79306
2007-05,82287
2007-06,91825
2007-07,91923
2007-08,58930
2007-09,59930
2007-10,78432
2007-11,80794
2007-12,85122
2008-01,103575
2008-02,85911
2008-03,80601
2008-04,68857
2008-05,65557
2008-06,76528
2008-07,94479
2008-08,87228
2008-09,71002
2008-10,159489
2008-11,132426
2008-12,91418
2009-01,111426
2009-02,79314
2009-03,95285
2009-04,74423
2009-05,72743
2009-06,68013
2009-07,67334
2009-08,68962
2009-09,65297
2009-10,63624
2009-11,59193
2009-12,65082
2010-01,81078
2010-02,60470
2010-03,67014
2010-04,61535
2010-05,60411
2010-06,64198
2010-07,70616
2010-08,80001
2010-09,91496
2010-10,84075
2010-11,71889
2010-12,67287
2011-01,79163
2011-02,63766
2011-03,73848
2011-04,73176
2011-05,67705
2011-06,58749
2011-07,58593
2011-08,54040
2011-09,49477
2011-10,49156
2011-11,51648
2011-12,49974
2012-01,50156
2012-02,61225
2012-03,58785
2012-04,59268
2012-05,86397
2012-06,52253
2012-07,56252
2012-08,48157
2012-09,49522
2012-10,54531
2012-11,57948
2012-12,60993
2013-01,61253
2013-02,50220
2013-03,46814
2013-04,53180
2013-05,47704
2013-06,44342
2013-07,45651
2013-08,39408
2013-09,61398
2013-10,35281
2013-11,37660
2013-12,40389
2014-01,43948
2014-02,39208
2014-03,41582
2014-04,36062
2014-05,38083
2014-06,35724
2014-07,39277
2014-08,35138
2014-09,30390
2014-10,35646
2014-11,70810
2014-12,72644
2015-01,98712
2015-02,81565
2015-03,83853
2015-04,91558
2015-05,101718
2015-06,110398
2015-07,168005
2015-08,205420
2015-09,162423
2015-10,181182
2015-11,283778
2015-12,173664
2016-01,183617
2016-02,173930
2016-03,174389
2016-04,173579
2016-05,203547
2016-06,162071
2016-07,152513
2016-08,155253
2016-09,131753
2016-10,130461
2016-11,129246
2016-12,144617
2017-01,185235
2017-02,172769
2017-03,168011
2017-04,136257
2017-05,186097
2017-06,137288
2017-07,173779
2017-08,132156
2017-09,140759
2017-10,138782
2017-11,123494
2017-12,125046
2018-01,117956
2018-02,100702
2018-03,134214
2018-04,106254
2018-05,98166
2018-06,92932
2018-07,115847
2018-08,118164
2018-09,112319
2018-10,118938
2018-11,116864
2018-12,148466
2019-01,154282
2019-02,116597
2019-03,129433
2019-04,119518
2019-05,129952
2019-06,88982
2019-07,100985
2019-08,108530
2019-09,133491
2019-10,96793
2019-11,100070
2019-12,92934
2020-01,124821
2020-02,101103
2020-03,146092
2020-04,195023
2020-05,177616
2020-06,126028
2020-07,136293
2020-08,139639
2020-09,122821
2020-10,135874
2020-11,135861
2020-12,131908
2021-01,149743
2021-02,130118
2021-03,122102
2021-04,116031
2021-05,103878
2021-06,91200
2021-07,98554
2021-08,99566
2021-09,86178
2021-10,71484
2021-11,72643
2021-12,86327
2022-01,103919
2022-02,88553
2022-03,73131
2022-04,77606
2022-05,64025
2022-06,69470
2022-07,62172
2022-08,79258
2022-09,67603
2022-10,62966
2022-11,73432
2022-12,80437
2023-01,99912
2023-02,75154
2023-03,79735
2023-04,75652
2023-05,76634
2023-06,66613
2023-07,89510
2023-08,95433
2023-09,93632
2023-10,33448
