2026-04-08 09:34:52 | INFO | Log file: /home/hungrylee/Desktop/0proj/degent/outputs/logs/train_20260408_093452.log
2026-04-08 09:34:52 | INFO | Outputs directory: /home/hungrylee/Desktop/0proj/degent/outputs
2026-04-08 09:34:52 | INFO | Movies input: /home/hungrylee/Desktop/0proj/degent/data/movies_processed_drop.csv
2026-04-08 09:34:52 | INFO | Ratings input: /home/hungrylee/Desktop/0proj/degent/data/ratings_drop_processed.jsonl
2026-04-08 09:34:52 | INFO | Selected torch device: cuda:0 (NVIDIA GeForce RTX 3090)
2026-04-08 09:34:52 | INFO | PyTorch version: 2.5.1+cu121
2026-04-08 09:34:52 | INFO | CUDA device count: 1
2026-04-08 09:34:52 | INFO | CUDA current device index: 0
2026-04-08 09:34:53 | INFO | Loaded movies: 77647 | unique genres: 19
2026-04-08 09:35:10 | INFO | Filtered user sequences: 14874
2026-04-08 09:35:17 | INFO | Temporal split users | train=12826 val=4651 test=4597
2026-04-08 09:35:18 | INFO | Dataset summary | items=55726 train_samples=83705 val_samples=36071 train_batches=327 val_batches=141
2026-04-08 09:35:19 | INFO | Training config | epochs=20 batch_size=256 seq_len=100 stride=50 cl_lambda=0.100
2026-04-08 09:36:10 | INFO | Epoch 01/20 | loss=16.2391
2026-04-08 09:37:01 | INFO | Epoch 02/20 | loss=9.2946
2026-04-08 09:37:52 | INFO | Epoch 03/20 | loss=9.1444
2026-04-08 09:38:43 | INFO | Epoch 04/20 | loss=9.0875
2026-04-08 09:39:34 | INFO | Epoch 05/20 | loss=9.0625
2026-04-08 09:39:39 | INFO | Validation | epoch=05 Recall@10=0.0088 NDCG@10=0.0039
2026-04-08 09:40:30 | INFO | Epoch 06/20 | loss=9.0411
2026-04-08 09:41:21 | INFO | Epoch 07/20 | loss=9.0090
2026-04-08 09:42:12 | INFO | Epoch 08/20 | loss=8.9487
2026-04-08 09:43:03 | INFO | Epoch 09/20 | loss=8.8122
2026-04-08 09:43:54 | INFO | Epoch 10/20 | loss=8.5975
2026-04-08 09:43:59 | INFO | Validation | epoch=10 Recall@10=0.0180 NDCG@10=0.0088
2026-04-08 09:44:50 | INFO | Epoch 11/20 | loss=8.4039
2026-04-08 09:45:42 | INFO | Epoch 12/20 | loss=8.2609
2026-04-08 09:46:33 | INFO | Epoch 13/20 | loss=8.1603
2026-04-08 09:47:24 | INFO | Epoch 14/20 | loss=8.0768
2026-04-08 09:48:15 | INFO | Epoch 15/20 | loss=7.9996
2026-04-08 09:48:20 | INFO | Validation | epoch=15 Recall@10=0.0291 NDCG@10=0.0138
2026-04-08 09:49:11 | INFO | Epoch 16/20 | loss=7.9291
2026-04-08 09:50:02 | INFO | Epoch 17/20 | loss=7.8615
2026-04-08 09:50:54 | INFO | Epoch 18/20 | loss=7.7991
2026-04-08 09:51:45 | INFO | Epoch 19/20 | loss=7.7398
2026-04-08 09:52:36 | INFO | Epoch 20/20 | loss=7.6848
2026-04-08 09:52:41 | INFO | Validation | epoch=20 Recall@10=0.0406 NDCG@10=0.0197
2026-04-08 09:52:41 | INFO | Saved model checkpoint: /home/hungrylee/Desktop/0proj/degent/outputs/sasrec_cl.pt
